LEASE-REC-TYPE-REC,LEASE-REC-DIST,LEASE-REC-FIELD,LEASE-REC-OPR,LEASE-REC-LEASE,LEASE-REC-FILLER,LEASE-REC-OFFSHORE,L-NAME,LSE-CO,POGATH,PGGATH,OSPLIT,GSPLIT,OOGATH,OGGATH,OOPR,BO-STATUS,BG-STATUS,MOVE-BAL,PO-STATUS,PG-STATUS,SEC-REC,CERT,BATCH,L-LPB,COMMINGLE-CD,COMMINGLE,L-INFO,AD-BO-STATUS,AD-BG-STATUS,COMMINGLE-DATE,L-RMCD,L-RMDT,SEV-CD-13,SEV-CD-14,L-CAS-SI-LTR-DTE,L-RED-RTE-DTE,L-EXC-TST,L-RLTYCD,L-ONE-WELL-LEASE,L-PANHANDLE-GOR-EXC,L-PANHANDLE-GOR-AMT,FILLER5,L-MONTH-DATE,LM-SEV,LM-RETRO,LM-REC,LM-CHG,LM-ALLOW,LM-PROD,LM-FW,LM-OW,LM-PL,LM-PLC,LM-OTH,LM-OTHC,LM-STO,LM-GL,LM-GPROD,LM-GLIFT,LM-CSIL,LM-JOHN,LM-LTR-CODE,FILLER6,FILLER7,FILLER8
3,01,27135700,253162,20091,00,0,VALKYRIE B,311000,EOGRS,EOGRE,0,0,,,000000,0,0,19,0,0,0,00,,0,1,6229,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-0.8,0000,202109,0,0,1,0,16590,4250,000,001,4236,0,10,8,16,11999880,3186,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20092,00,0,VALKYRIE C,311000,EOGRS,EOGRE,0,0,,,000000,0,0,25,0,0,0,00,,0,1,6229,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-0.8,0000,202109,0,0,1,0,16020,5473,000,001,5451,0,16,8,21,11999880,3284,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20093,00,0,VALKYRIE D,311000,EOGRS,EOGRE,0,0,,,000000,0,0,20,0,0,0,00,,0,1,6229,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-0.9,0000,202109,0,0,1,0,17490,5418,000,001,5397,0,15,8,21,11999880,3947,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20095,00,0,FOUR K PARTNERS F,311000,EOGRS,WILMP,0,0,,,000000,0,0,81,0,0,0,00,,0,1,6246,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-0.9,0000,202109,0,0,1,0,11400,6853,000,001,6806,1,13,8,112,11999880,6614,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20096,00,0,FOUR K PARTNERS G,311000,EOGRS,WILMP,0,0,,,000000,0,0,161,0,0,0,00,,0,1,6246,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-0.6,0000,202109,0,0,1,0,16350,6503,000,001,6458,1,8,8,106,11999880,4395,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20097,00,0,FOUR K PARTNERS H,311000,EOGRS,WILMP,0,0,,,000000,0,0,123,0,0,0,00,,0,1,6246,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-0.8,0000,202109,0,0,1,0,15780,6111,000,001,6069,1,11,8,100,11999880,3483,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20098,00,0,FOUR K PARTNERS K,311000,EOGRS,WILMP,0,0,,,000000,0,0,62,0,0,0,00,,0,1,6246,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-0.9,0000,202109,0,0,1,0,27900,6668,000,001,6638,1,10,8,109,11999880,4883,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20099,00,0,MARLIN C,283000,EOGRS,EOGRE,0,0,,,000000,0,0,97,0,0,0,00,,0,1,6228,,0,0,202002,0,000000,0,0,000000,000000,0,0,N,Y,-1.6,0000,202109,0,0,1,0,9900,3898,000,001,3885,0,6,8,114,11999880,6891,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20100,00,0,ARCTIC A,177000,EOGRS,EOGRE,0,0,,,000000,0,0,0,0,0,0,00,,0,1,6227,,0,0,202001,0,000000,0,0,000000,000000,0,0,N,Y,-1.0,0000,202109,0,0,1,0,15270,5629,000,001,5681,1,8,8,217,11999880,4764,0,0,0,0,0000000000000,0000000000000,0000
3,01,27135700,253162,20101,00,0,ARCTIC B,177000,EOGRS,EOGRE,0,0,,,000000,0,0,0,0,0,0,00,,0,1,6227,,0,0,202001,0,000000,0,0,000000,000000,0,0,N,Y,-1.1,0000,202109,0,0,1,0,7770,2421,000,001,2451,1,5,8,93,11999880,2878,0,0,0,0,0000000000000,0000000000000,0000
